symbol,company_name,index_name
360ONE.NS,360 ONE WAM Ltd.,NIFTY200
ABB.NS,ABB India Ltd.,NIFTY200
APLAPOLLO.NS,APL Apollo Tubes Ltd.,NIFTY200
AUBANK.NS,AU Small Finance Bank Ltd.,NIFTY200
ADANIENSOL.NS,Adani Energy Solutions Ltd.,NIFTY200
ADANIENT.NS,Adani Enterprises Ltd.,NIFTY200
ADANIGREEN.NS,Adani Green Energy Ltd.,NIFTY200
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,NIFTY200
ADANIPOWER.NS,Adani Power Ltd.,NIFTY200
ATGL.NS,Adani Total Gas Ltd.,NIFTY200
ABCAPITAL.NS,Aditya Birla Capital Ltd.,NIFTY200
ALKEM.NS,Alkem Laboratories Ltd.,NIFTY200
AMBUJACEM.NS,Ambuja Cements Ltd.,NIFTY200
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,NIFTY200
ASHOKLEY.NS,Ashok Leyland Ltd.,NIFTY200
ASIANPAINT.NS,Asian Paints Ltd.,NIFTY200
ASTRAL.NS,Astral Ltd.,NIFTY200
AUROPHARMA.NS,Aurobindo Pharma Ltd.,NIFTY200
DMART.NS,Avenue Supermarts Ltd.,NIFTY200
AXISBANK.NS,Axis Bank Ltd.,NIFTY200
BSE.NS,BSE Ltd.,NIFTY200
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,NIFTY200
BAJFINANCE.NS,Bajaj Finance Ltd.,NIFTY200
BAJAJFINSV.NS,Bajaj Finserv Ltd.,NIFTY200
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,NIFTY200
BANKBARODA.NS,Bank of Baroda,NIFTY200
BANKINDIA.NS,Bank of India,NIFTY200
BDL.NS,Bharat Dynamics Ltd.,NIFTY200
BEL.NS,Bharat Electronics Ltd.,NIFTY200
BHARATFORG.NS,Bharat Forge Ltd.,NIFTY200
BHEL.NS,Bharat Heavy Electricals Ltd.,NIFTY200
BPCL.NS,Bharat Petroleum Corporation Ltd.,NIFTY200
BHARTIARTL.NS,Bharti Airtel Ltd.,NIFTY200
GROWW.NS,Billionbrains Garage Ventures Ltd.,NIFTY200
BIOCON.NS,Biocon Ltd.,NIFTY200
BLUESTARCO.NS,Blue Star Ltd.,NIFTY200
BOSCHLTD.NS,Bosch Ltd.,NIFTY200
BRITANNIA.NS,Britannia Industries Ltd.,NIFTY200
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,NIFTY200
CANBK.NS,Canara Bank,NIFTY200
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,NIFTY200
CIPLA.NS,Cipla Ltd.,NIFTY200
COALINDIA.NS,Coal India Ltd.,NIFTY200
COCHINSHIP.NS,Cochin Shipyard Ltd.,NIFTY200
COFORGE.NS,Coforge Ltd.,NIFTY200
COLPAL.NS,Colgate Palmolive (India) Ltd.,NIFTY200
CONCOR.NS,Container Corporation of India Ltd.,NIFTY200
COROMANDEL.NS,Coromandel International Ltd.,NIFTY200
CUMMINSIND.NS,Cummins India Ltd.,NIFTY200
DLF.NS,DLF Ltd.,NIFTY200
DABUR.NS,Dabur India Ltd.,NIFTY200
DIVISLAB.NS,Divi's Laboratories Ltd.,NIFTY200
DIXON.NS,Dixon Technologies (India) Ltd.,NIFTY200
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,NIFTY200
EICHERMOT.NS,Eicher Motors Ltd.,NIFTY200
ETERNAL.NS,Eternal Ltd.,NIFTY200
EXIDEIND.NS,Exide Industries Ltd.,NIFTY200
NYKAA.NS,FSN E-Commerce Ventures Ltd.,NIFTY200
FEDERALBNK.NS,Federal Bank Ltd.,NIFTY200
FORTIS.NS,Fortis Healthcare Ltd.,NIFTY200
GAIL.NS,GAIL (India) Ltd.,NIFTY200
GVT&D.NS,GE Vernova T&D India Ltd.,NIFTY200
GMRAIRPORT.NS,GMR Airports Ltd.,NIFTY200
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,NIFTY200
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,NIFTY200
GODREJCP.NS,Godrej Consumer Products Ltd.,NIFTY200
GODREJPROP.NS,Godrej Properties Ltd.,NIFTY200
GRASIM.NS,Grasim Industries Ltd.,NIFTY200
HCLTECH.NS,HCL Technologies Ltd.,NIFTY200
HDFCAMC.NS,HDFC Asset Management Company Ltd.,NIFTY200
HDFCBANK.NS,HDFC Bank Ltd.,NIFTY200
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,NIFTY200
HAVELLS.NS,Havells India Ltd.,NIFTY200
HEROMOTOCO.NS,Hero MotoCorp Ltd.,NIFTY200
HINDALCO.NS,Hindalco Industries Ltd.,NIFTY200
HAL.NS,Hindustan Aeronautics Ltd.,NIFTY200
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,NIFTY200
HINDUNILVR.NS,Hindustan Unilever Ltd.,NIFTY200
HINDZINC.NS,Hindustan Zinc Ltd.,NIFTY200
POWERINDIA.NS,Hitachi Energy India Ltd.,NIFTY200
HUDCO.NS,Housing & Urban Development Corporation Ltd.,NIFTY200
HYUNDAI.NS,Hyundai Motor India Ltd.,NIFTY200
ICICIBANK.NS,ICICI Bank Ltd.,NIFTY200
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,NIFTY200
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,NIFTY200
IDFCFIRSTB.NS,IDFC First Bank Ltd.,NIFTY200
ITC.NS,ITC Ltd.,NIFTY200
INDIANB.NS,Indian Bank,NIFTY200
INDHOTEL.NS,Indian Hotels Co. Ltd.,NIFTY200
IOC.NS,Indian Oil Corporation Ltd.,NIFTY200
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,NIFTY200
IRFC.NS,Indian Railway Finance Corporation Ltd.,NIFTY200
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,NIFTY200
INDUSTOWER.NS,Indus Towers Ltd.,NIFTY200
INDUSINDBK.NS,IndusInd Bank Ltd.,NIFTY200
NAUKRI.NS,Info Edge (India) Ltd.,NIFTY200
INFY.NS,Infosys Ltd.,NIFTY200
INDIGO.NS,InterGlobe Aviation Ltd.,NIFTY200
JSWENERGY.NS,JSW Energy Ltd.,NIFTY200
JSWSTEEL.NS,JSW Steel Ltd.,NIFTY200
JINDALSTEL.NS,Jindal Steel Ltd.,NIFTY200
JIOFIN.NS,Jio Financial Services Ltd.,NIFTY200
JUBLFOOD.NS,Jubilant Foodworks Ltd.,NIFTY200
KEI.NS,KEI Industries Ltd.,NIFTY200
KPITTECH.NS,KPIT Technologies Ltd.,NIFTY200
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,NIFTY200
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,NIFTY200
LTF.NS,L&T Finance Ltd.,NIFTY200
LGEINDIA.NS,LG Electronics India Ltd.,NIFTY200
LICHSGFIN.NS,LIC Housing Finance Ltd.,NIFTY200
LTM.NS,LTM Ltd.,NIFTY200
LT.NS,Larsen & Toubro Ltd.,NIFTY200
LAURUSLABS.NS,Laurus Labs Ltd.,NIFTY200
LENSKART.NS,Lenskart Solutions Ltd.,NIFTY200
LODHA.NS,Lodha Developers Ltd.,NIFTY200
LUPIN.NS,Lupin Ltd.,NIFTY200
MRF.NS,MRF Ltd.,NIFTY200
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,NIFTY200
M&M.NS,Mahindra & Mahindra Ltd.,NIFTY200
MANKIND.NS,Mankind Pharma Ltd.,NIFTY200
MARICO.NS,Marico Ltd.,NIFTY200
MARUTI.NS,Maruti Suzuki India Ltd.,NIFTY200
MFSL.NS,Max Financial Services Ltd.,NIFTY200
MAXHEALTH.NS,Max Healthcare Institute Ltd.,NIFTY200
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,NIFTY200
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,NIFTY200
MPHASIS.NS,MphasiS Ltd.,NIFTY200
MCX.NS,Multi Commodity Exchange of India Ltd.,NIFTY200
MUTHOOTFIN.NS,Muthoot Finance Ltd.,NIFTY200
NHPC.NS,NHPC Ltd.,NIFTY200
NMDC.NS,NMDC Ltd.,NIFTY200
NTPC.NS,NTPC Ltd.,NIFTY200
NATIONALUM.NS,National Aluminium Co. Ltd.,NIFTY200
NESTLEIND.NS,Nestle India Ltd.,NIFTY200
OBEROIRLTY.NS,Oberoi Realty Ltd.,NIFTY200
ONGC.NS,Oil & Natural Gas Corporation Ltd.,NIFTY200
OIL.NS,Oil India Ltd.,NIFTY200
PAYTM.NS,One 97 Communications Ltd.,NIFTY200
OFSS.NS,Oracle Financial Services Software Ltd.,NIFTY200
POLICYBZR.NS,PB Fintech Ltd.,NIFTY200
PIIND.NS,PI Industries Ltd.,NIFTY200
PAGEIND.NS,Page Industries Ltd.,NIFTY200
PATANJALI.NS,Patanjali Foods Ltd.,NIFTY200
PERSISTENT.NS,Persistent Systems Ltd.,NIFTY200
PHOENIXLTD.NS,Phoenix Mills Ltd.,NIFTY200
PIDILITIND.NS,Pidilite Industries Ltd.,NIFTY200
POLYCAB.NS,Polycab India Ltd.,NIFTY200
PFC.NS,Power Finance Corporation Ltd.,NIFTY200
POWERGRID.NS,Power Grid Corporation of India Ltd.,NIFTY200
PREMIERENE.NS,Premier Energies Ltd.,NIFTY200
PRESTIGE.NS,Prestige Estates Projects Ltd.,NIFTY200
PNB.NS,Punjab National Bank,NIFTY200
RECLTD.NS,REC Ltd.,NIFTY200
RADICO.NS,Radico Khaitan Ltd,NIFTY200
RVNL.NS,Rail Vikas Nigam Ltd.,NIFTY200
RELIANCE.NS,Reliance Industries Ltd.,NIFTY200
SBICARD.NS,SBI Cards and Payment Services Ltd.,NIFTY200
SBILIFE.NS,SBI Life Insurance Company Ltd.,NIFTY200
SRF.NS,SRF Ltd.,NIFTY200
MOTHERSON.NS,Samvardhana Motherson International Ltd.,NIFTY200
SHREECEM.NS,Shree Cement Ltd.,NIFTY200
SHRIRAMFIN.NS,Shriram Finance Ltd.,NIFTY200
ENRIN.NS,Siemens Energy India Ltd.,NIFTY200
SIEMENS.NS,Siemens Ltd.,NIFTY200
SOLARINDS.NS,Solar Industries India Ltd.,NIFTY200
SBIN.NS,State Bank of India,NIFTY200
SAIL.NS,Steel Authority of India Ltd.,NIFTY200
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,NIFTY200
SUPREMEIND.NS,Supreme Industries Ltd.,NIFTY200
SUZLON.NS,Suzlon Energy Ltd.,NIFTY200
SWIGGY.NS,Swiggy Ltd.,NIFTY200
TVSMOTOR.NS,TVS Motor Company Ltd.,NIFTY200
TATACAP.NS,Tata Capital Ltd.,NIFTY200
TATACOMM.NS,Tata Communications Ltd.,NIFTY200
TCS.NS,Tata Consultancy Services Ltd.,NIFTY200
TATACONSUM.NS,Tata Consumer Products Ltd.,NIFTY200
TATAELXSI.NS,Tata Elxsi Ltd.,NIFTY200
TATAINVEST.NS,Tata Investment Corporation Ltd.,NIFTY200
TMCV.NS,Tata Motors Ltd.,NIFTY200
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,NIFTY200
TATAPOWER.NS,Tata Power Co. Ltd.,NIFTY200
TATASTEEL.NS,Tata Steel Ltd.,NIFTY200
TECHM.NS,Tech Mahindra Ltd.,NIFTY200
TITAN.NS,Titan Company Ltd.,NIFTY200
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,NIFTY200
TRENT.NS,Trent Ltd.,NIFTY200
