symbol,final_score,raw_score,normalized_score,signal,comp_relative_strength,comp_sector_strength,comp_trend_structure,comp_breakout_quality,comp_risk_reward,comp_entry_timing,comp_momentum,comp_volatility_quality
GLENMARK.NS,18.8,58.28,62.67,AVOID,9.32,13.32,15.0,3.33,11.1,2.22,2.02,1.97
NATIONALUM.NS,18.76,58.15,62.53,AVOID,9.82,12.77,14.82,1.55,11.57,1.7,1.77,4.15
AUROPHARMA.NS,18.55,57.51,61.84,AVOID,12.97,13.52,16.51,3.22,1.61,4.26,3.71,1.71
HINDALCO.NS,18.05,55.95,60.16,AVOID,12.63,12.12,14.11,3.07,3.73,4.38,2.15,3.76
TATASTEEL.NS,17.95,55.66,59.85,AVOID,11.49,9.94,16.34,3.36,5.59,4.11,1.23,3.6
ONGC.NS,17.65,54.71,58.83,AVOID,8.8,10.38,14.67,4.44,2.87,7.93,1.83,3.79
TORNTPHARM.NS,17.58,54.49,58.59,AVOID,8.91,12.82,17.02,3.83,2.35,4.79,3.08,1.69
NTPC.NS,17.26,53.52,57.55,AVOID,8.42,10.03,14.75,3.4,10.42,3.43,1.38,1.69
APOLLOHOSP.NS,17.18,53.27,57.28,AVOID,10.48,10.82,16.68,3.34,2.37,5.44,2.65,1.49
LAURUSLABS.NS,17.07,52.91,56.89,AVOID,13.05,13.52,16.28,1.98,1.0,1.71,3.52,1.85
MARICO.NS,17.02,52.76,56.73,AVOID,11.78,10.08,17.63,2.87,1.3,4.23,3.2,1.67
BIOCON.NS,16.93,52.49,56.44,AVOID,10.76,11.32,13.56,6.96,1.43,4.1,2.46,1.9
SUNPHARMA.NS,16.82,52.15,56.08,AVOID,11.15,11.82,16.94,2.45,1.0,4.5,2.58,1.71
HINDZINC.NS,16.64,51.59,55.47,AVOID,9.64,12.77,16.3,2.26,2.52,3.05,3.15,1.9
BHARATFORG.NS,16.63,51.55,55.43,AVOID,10.4,6.89,17.85,3.35,4.19,3.89,2.82,2.16
POWERGRID.NS,16.57,51.36,55.23,AVOID,7.75,9.34,14.71,3.54,10.51,2.89,1.06,1.56
GVT&D.NS,16.55,51.3,55.16,AVOID,10.42,11.56,14.08,1.43,7.4,1.45,2.76,2.2
NESTLEIND.NS,16.5,51.16,55.01,AVOID,12.25,10.35,16.91,2.31,1.0,3.86,2.92,1.56
MCX.NS,16.47,51.07,54.91,AVOID,13.05,8.31,16.09,2.66,1.02,2.05,3.89,4.0
TATAPOWER.NS,16.4,50.85,54.68,AVOID,8.04,8.99,15.0,2.19,11.35,1.96,1.54,1.78
RADICO.NS,16.38,50.78,54.6,AVOID,12.42,10.35,16.2,2.93,1.29,3.29,2.22,2.08
KEI.NS,16.35,50.7,54.52,AVOID,9.56,10.97,16.92,2.43,2.21,4.09,2.22,2.3
NMDC.NS,16.35,50.7,54.52,AVOID,8.2,10.67,14.96,2.66,8.18,3.1,1.13,1.8
POLYCAB.NS,16.31,50.57,54.38,AVOID,12.74,11.31,16.36,2.06,1.0,1.86,3.39,1.85
JINDALSTEL.NS,16.2,50.21,53.99,AVOID,6.87,9.21,14.6,3.32,10.76,2.86,0.69,1.9
BAJAJ-AUTO.NS,16.1,49.92,53.68,AVOID,11.65,6.89,17.63,2.75,1.62,4.42,3.19,1.77
CGPOWER.NS,16.02,49.67,53.41,AVOID,10.04,10.62,16.76,2.38,1.56,3.85,2.4,2.06
CUMMINSIND.NS,15.94,49.42,53.14,AVOID,9.34,10.27,14.67,3.2,5.14,3.07,1.95,1.78
PFC.NS,15.92,49.35,53.06,AVOID,7.98,9.68,14.89,2.52,8.73,2.41,1.17,1.97
ABB.NS,15.89,49.27,52.98,AVOID,8.25,9.57,14.98,0.61,12.0,0.0,1.55,2.31
SOLARINDS.NS,15.89,49.26,52.97,AVOID,9.22,9.92,15.63,3.56,2.67,4.19,2.14,1.93
POWERINDIA.NS,15.85,49.14,52.84,AVOID,11.08,11.56,14.29,2.21,1.96,2.9,3.0,2.14
ADANIGREEN.NS,15.77,48.89,52.57,AVOID,11.06,10.97,14.92,2.62,1.65,2.72,2.67,2.28
SAIL.NS,15.55,48.2,51.83,AVOID,9.24,11.39,14.19,2.78,4.45,2.3,1.93,1.92
BHEL.NS,15.44,47.86,51.46,AVOID,11.13,11.56,14.92,1.69,1.23,1.25,3.83,2.25
FEDERALBNK.NS,15.26,47.3,50.86,AVOID,6.57,5.73,15.75,3.24,10.51,3.07,0.59,1.84
JSWENERGY.NS,15.17,47.03,50.57,AVOID,6.47,7.95,14.81,2.2,11.68,0.72,1.0,2.2
COALINDIA.NS,15.0,46.5,50.0,AVOID,8.75,10.73,14.6,3.13,2.76,3.05,1.72,1.76
MOTHERSON.NS,15.0,46.5,50.0,AVOID,7.46,6.62,17.12,2.76,6.49,2.99,0.88,2.18
ADANIENSOL.NS,14.97,46.42,49.91,AVOID,10.64,10.97,12.98,2.57,2.96,1.45,2.85,2.0
LUPIN.NS,14.97,46.42,49.91,AVOID,6.23,10.32,13.77,2.84,8.85,1.98,0.52,1.91
GROWW.NS,14.96,46.37,49.86,AVOID,9.17,5.73,14.07,3.0,12.0,0.0,0.65,1.75
EICHERMOT.NS,14.93,46.28,49.76,AVOID,4.79,6.09,13.5,2.61,12.0,3.38,0.13,3.78
BSE.NS,14.77,45.79,49.24,AVOID,13.07,5.73,15.67,2.5,1.11,2.85,3.0,1.86
ADANIPOWER.NS,14.74,45.68,49.12,AVOID,11.07,10.97,11.93,2.17,2.47,1.74,3.0,2.33
DIVISLAB.NS,14.7,45.58,49.01,AVOID,9.35,9.52,14.56,3.27,1.46,4.64,1.23,1.55
PHOENIXLTD.NS,14.65,45.4,48.82,AVOID,4.58,5.51,14.41,3.95,12.0,2.79,0.11,2.05
AUBANK.NS,14.64,45.39,48.81,AVOID,6.43,5.73,14.36,2.85,10.65,2.92,0.58,1.87
TATACONSUM.NS,14.58,45.19,48.59,AVOID,10.62,9.02,15.04,2.65,1.0,2.1,2.96,1.8
DMART.NS,14.57,45.18,48.58,AVOID,6.72,6.3,14.0,2.32,8.2,2.96,0.93,3.75
SIEMENS.NS,14.43,44.73,48.1,AVOID,8.07,8.88,14.32,3.02,5.42,1.63,1.32,2.07
JSWSTEEL.NS,14.42,44.71,48.08,AVOID,9.45,8.77,14.4,2.98,3.62,3.39,0.45,1.65
ABCAPITAL.NS,14.35,44.49,47.84,AVOID,5.26,5.01,15.79,2.54,11.2,2.45,0.12,2.12
